cohort_month	total_customers	months_after_first_order	customers_active	retention_percentage
2022-05	108	0	108	100.00
2022-05	108	1	6	5.56
2022-05	108	2	10	9.26
2022-05	108	3	10	9.26
2022-05	108	4	8	7.41
2022-05	108	5	8	7.41
2022-05	108	6	9	8.33
2022-05	108	7	9	8.33
2022-05	108	8	12	11.11
2022-05	108	9	10	9.26
2022-05	108	10	10	9.26
2022-05	108	11	3	2.78
2022-05	108	12	10	9.26
2022-05	108	13	12	11.11
2022-05	108	14	8	7.41
2022-05	108	15	11	10.19
2022-05	108	16	12	11.11
2022-05	108	17	12	11.11
2022-05	108	18	14	12.96
2022-05	108	19	10	9.26
2022-05	108	20	7	6.48
2022-05	108	21	5	4.63
2022-05	108	22	5	4.63
2022-05	108	23	17	15.74
2022-05	108	24	10	9.26
2022-05	108	25	10	9.26
2022-05	108	26	6	5.56
2022-05	108	27	11	10.19
2022-05	108	28	11	10.19
2022-05	108	29	10	9.26
2022-05	108	30	7	6.48
2022-05	108	31	18	16.67
2022-05	108	32	4	3.70
2022-05	108	33	4	3.70
2022-05	108	34	10	9.26
2022-05	108	35	9	8.33
2022-05	108	36	6	5.56
2022-05	108	37	12	11.11
2022-05	108	38	9	8.33
2022-05	108	39	3	2.78
2022-05	108	40	9	8.33
2022-06	117	0	117	100.00
2022-06	117	1	11	9.40
2022-06	117	2	8	6.84
2022-06	117	3	9	7.69
2022-06	117	4	10	8.55
2022-06	117	5	7	5.98
2022-06	117	6	10	8.55
2022-06	117	7	8	6.84
2022-06	117	8	10	8.55
2022-06	117	9	8	6.84
2022-06	117	10	7	5.98
2022-06	117	11	11	9.40
2022-06	117	12	16	13.68
2022-06	117	13	9	7.69
2022-06	117	14	11	9.40
2022-06	117	15	11	9.40
2022-06	117	16	7	5.98
2022-06	117	17	10	8.55
2022-06	117	18	9	7.69
2022-06	117	19	10	8.55
2022-06	117	20	9	7.69
2022-06	117	21	9	7.69
2022-06	117	22	7	5.98
2022-06	117	23	10	8.55
