month	active_customers	new_customers	total_orders	revenue	avg_order_value	units_sold	revenue_growth_pct	orders_growth_pct	customer_growth_pct
2024-09	535	151	557	488053.49	876.22	1643	NULL	NULL	NULL
2024-10	1002	279	1108	993200.26	896.39	3331	103.50	98.92	87.29
2024-11	995	273	1108	954238.15	861.23	3201	-3.92	0.00	-0.70
2024-12	1186	318	1329	1242487.55	934.90	3961	30.21	19.95	19.20
2025-01	1223	280	1367	1219050.59	891.77	4101	-1.89	2.86	3.12
2025-02	1144	269	1290	1190382.47	922.78	3892	-2.35	-5.63	-6.46
2025-03	1429	303	1639	1531315.72	934.30	4975	28.64	27.05	24.91
2025-04	1337	294	1564	1458959.12	932.84	4709	-4.73	-4.58	-6.44
2025-05	1542	272	1808	1652846.60	914.19	5430	13.29	15.60	15.33
2025-06	1624	311	1985	1830381.25	922.11	5888	10.74	9.79	5.32
2025-07	1851	340	2381	2178140.81	914.80	7117	19.00	19.95	13.98
2025-08	2022	376	2879	2579589.55	896.00	8388	18.43	20.92	9.24
2025-09	1125	167	1672	1462783.80	874.87	4762	-43.29	-41.92	-44.36
