product_id	product_name	category	subcategory	brand	cost_price	order_count	units_sold	total_revenue	avg_selling_price	avg_profit_per_unit	total_profit	avg_discount_percent
689	HP Accessories Versatile mobile hub	Electronics	Accessories	HP	743.02	92	16512	27560340.45	1737.650000	1654.5127536196	15291594.21	5.49
327	HP Accessories Cloned discrete circuit	Electronics	Accessories	HP	682.71	86	14835	23262397.80	1596.070000	1559.2990697674	13134394.95	2.63
381	Microsoft Smartphones Fully-configurable transitional customer loyalty	Electronics	Smartphones	Microsoft	725.85	83	13800	22571485.85	1691.240000	1629.7455622530	12554755.85	4.76
579	Dell Gaming Organic secondary flexibility	Electronics	Gaming	Dell	688.35	75	13392	21589178.72	1659.980000	1603.0357111067	12370795.52	4.15
823	Sony Smartphones Streamlined coherent forecast	Electronics	Smartphones	Sony	715.33	83	13328	21229355.84	1641.670000	1585.2845983976	11695437.60	4.26
621	HP Accessories Reactive didactic infrastructure	Electronics	Accessories	HP	653.98	81	13924	20461911.54	1518.130000	1455.9666049383	11355894.02	4.66
991	Microsoft Smartphones User-centric 6thgeneration alliance	Electronics	Smartphones	Microsoft	679.74	82	13764	20186441.12	1518.650000	1456.9254471463	10830499.76	4.64
997	Apple Accessories Extended optimizing conglomeration	Electronics	Accessories	Apple	779.24	82	12430	19391526.59	1612.370000	1548.9292682927	9705573.39	4.35
871	Sony Tablets Front-line zero administration capacity	Electronics	Tablets	Sony	739.26	78	13224	19200308.40	1511.520000	1441.7113461538	9424334.16	5.76
234	HP Gaming Streamlined bandwidth-monitored system engine	Electronics	Gaming	HP	680.57	89	17408	18587328.08	1106.830000	1061.0428277191	6739965.52	5.08
217	Apple Gaming De-engineered client-driven model	Electronics	Gaming	Apple	743.09	74	11663	18581388.88	1648.670000	1582.5793243243	9914730.21	4.96
620	Samsung Gaming Grass-roots mission-critical installation	Electronics	Gaming	Samsung	719.34	78	11554	18557193.32	1670.890000	1596.8331196667	10245938.96	5.27
56	HP Accessories Adaptive intermediate forecast	Electronics	Accessories	HP	718.89	72	11655	18371749.20	1630.020000	1570.4079629583	9993086.25	5.08
384	Sony Laptops Secured bottom-line projection	Electronics	Laptops	Sony	776.21	81	13104	18245273.67	1436.040000	1382.7518930000	8073817.83	4.21
566	Dell Accessories Optimized dynamic ability	Electronics	Accessories	Dell	719.48	68	10300	17883169.00	1773.590000	1736.8767892206	10472525.00	3.10
8	Apple Gaming Expanded 24/7 process improvement	Electronics	Gaming	Apple	690.76	70	11556	17834602.68	1592.370000	1531.4812857143	9852180.12	4.71
754	HP Gaming Digitized real-time migration	Electronics	Gaming	HP	510.82	92	15498	17556436.98	1161.410000	1127.6232246413	9639748.62	3.37
801	Apple Gaming Open-architected fault-tolerant capacity	Electronics	Gaming	Apple	521.60	84	14605	17176164.53	1210.260000	1169.6947817500	9558196.53	3.87
651	Dell Tablets Exclusive value-added system engine	Electronics	Tablets	Dell	767.36	76	10404	16992302.40	1683.140000	1626.7734649211	9008688.96	3.98
572	Dell Gaming Profit-focused solution-oriented firmware	Electronics	Gaming	Dell	545.15	83	13098	16641552.98	1313.470000	1264.7769076265	9501178.28	4.37
category	product_count	order_count	units_sold	revenue	avg_price	avg_cost	total_profit	profit_margin_percent
Electronics	197	14565	2168807	1788791427.74	846.8568020305	446.924162	812177979.78	45.40
Home	194	14262	2117398	638303488.53	313.8045876289	165.292423	289359554.86	45.33
Sports	208	15266	2269656	482768895.84	219.7958173077	119.157548	211881511.68	43.89
Clothing	216	15829	2353781	364121382.41	158.4389351852	83.134907	165590013.51	45.48
Books	185	13689	2039757	89892714.50	45.4601081081	23.988865	40701789.52	45.28
product_id	product_name	category	days_since_launch	total_units_sold	total_revenue	units_per_day	revenue_per_day	velocity_quintile	velocity_category
527	West Elm Garden Centralized 24hour benchmark	Home	0	142	5411.36	142.00	5411.36	1	High Velocity
926	Nike Accessories Switchable motivating toolset	Clothing	0	142	27297.95	142.00	27297.95	1	High Velocity
273	HP Smartphones Polarized systematic orchestration	Electronics	0	140	36392.04	140.00	36392.04	1	High Velocity
659	IKEA Garden Digitized maximized emulation	Home	0	139	21493.63	139.00	21493.63	1	High Velocity
809	West Elm Garden Extended logistical parallelism	Home	0	139	30862.63	139.00	30862.63	1	High Velocity
87	Random House Educational Down-sized holistic functionalities	Books	0	138	5341.98	138.00	5341.98	1	High Velocity
224	McGraw Hill Reference Grass-roots multimedia monitoring	Books	0	138	11568.55	138.00	11568.55	1	High Velocity
344	Microsoft Tablets Enhanced next generation application	Electronics	0	138	15464.13	138.00	15464.13	1	High Velocity
676	Nike Fitness Universal 6thgeneration archive	Sports	0	138	8537.43	138.00	8537.43	1	High Velocity
395	Nike Fitness Automated web-enabled array	Sports	0	137	22388.36	137.00	22388.36	1	High Velocity
36	Penguin Educational Devolved analyzing infrastructure	Books	0	136	2770.24	136.00	2770.24	1	High Velocity
154	IKEA Kitchen Function-based directional benchmark	Home	0	136	14172.15	136.00	14172.15	1	High Velocity
157	Scholastic Non-Fiction Centralized system-worthy access	Books	0	134	9919.23	134.00	9919.23	1	High Velocity
884	Home Depot Storage User-centric explicit Local Area Network	Home	0	134	56074.93	134.00	56074.93	1	High Velocity
345	Random House Educational Synergistic next generation functionalities	Books	0	133	4432.62	133.00	4432.62	1	High Velocity
887	Zara Kids Switchable composite help-desk	Clothing	0	132	31039.16	132.00	31039.16	1	High Velocity
107	Nike Mens Persevering mission-critical challenge	Clothing	0	131	23407.87	131.00	23407.87	1	High Velocity
233	Sony Accessories Cloned stable archive	Electronics	0	131	73107.09	131.00	73107.09	1	High Velocity
603	Under Armour Fitness Front-line methodical website	Sports	0	131	35565.06	131.00	35565.06	1	High Velocity
608	Penguin Non-Fiction Function-based solution-oriented project	Books	0	131	4067.87	131.00	4067.87	1	High Velocity
814	Scholastic Children Triple-buffered fault-tolerant initiative	Books	0	131	6868.04	131.00	6868.04	1	High Velocity
853	Random House Fiction Phased bi-directional extranet	Books	0	131	8112.36	131.00	8112.36	1	High Velocity
6	HP Tablets Open-architected 24/7 process improvement	Electronics	0	130	53513.43	130.00	53513.43	1	High Velocity
360	Levis Accessories Open-source systemic firmware	Clothing	0	130	12599.51	130.00	12599.51	1	High Velocity
964	Wayfair Furniture Devolved intangible standardization	Home	0	130	67073.73	130.00	67073.73	1	High Velocity
327	HP Accessories Cloned discrete circuit	Electronics	0	129	202281.72	129.00	202281.72	1	High Velocity
463	Wayfair Garden Seamless 24/7 conglomeration	Home	0	129	33064.24	129.00	33064.24	1	High Velocity
501	Penguin Children Cross-group foreground architecture	Books	0	129	2751.03	129.00	2751.03	1	High Velocity
685	Nike Fitness Centralized real-time structure	Sports	0	129	44603.72	129.00	44603.72	1	High Velocity
75	Scholastic Reference Profound next generation synergy	Books	0	128	4340.29	128.00	4340.29	1	High Velocity
234	HP Gaming Streamlined bandwidth-monitored system engine	Electronics	0	128	136671.53	128.00	136671.53	1	High Velocity
267	West Elm Kitchen Open-architected high-level firmware	Home	0	128	42069.40	128.00	42069.40	1	High Velocity
570	Gap Accessories Triple-buffered didactic flexibility	Clothing	0	128	19148.53	128.00	19148.53	1	High Velocity
689	HP Accessories Versatile mobile hub	Electronics	0	128	213646.05	128.00	213646.05	1	High Velocity
